# Illinois Crime Victim Assistance Services Directory (PDF line # = id). Tab-separated.
# id	organization	programType	address	phone	website
16	Ascend Justice	Domestic Violence	205 W Wacker Dr, Suite 1900, Chicago, IL 60606	312-971-5932	https://www.ascendjustice.org
17	Association for Individual Development	Community Violence	1135 Bowes Rd, Elgin, IL 60123	847-931-2290	https://www.aidcares.org
18	BUILD, Inc.	Community Violence	5100 W Harrison St, Chicago, IL 60644	773-227-2880	https://www.buildchicago.org
19	Between Friends	Domestic Violence	PO Box 608548, Chicago, IL 60660	773-274-5232	https://www.betweenfriendschicago.org
20	Bond County State's Attorney Office	Prosecution	200 W College Ave, Greenville, IL 62246	618-664-3208	Not publicly listed
21	Boone County State's Attorney's Office	Prosecution	601 N Main St, Belvidere, IL 61008	815-544-2803	https://www.boonecountyil.gov
22	Braveheart Children's Advocacy Center	Children's Advocacy Center	1604 2nd Ave, Rock Island, IL 61201	309-797-2662	https://www.braveheartcac.org
23	Brown County State's Attorney's Office	Prosecution	200 Court St, Mount Sterling, IL 62353	217-773-2713	Not publicly listed
24	Bureau County State's Attorney's Office	Prosecution	700 S Main St, Princeton, IL 61356	815-875-2851	https://www.bureaucounty-il.gov
25	CAC of Winnebago County	Children's Advocacy Center	2727 N Main St, Rockford, IL 61103	815-319-6195	https://www.cacwinnebago.com
26	Cairo Women's Shelter, Inc.	Domestic Violence	PO Box 306, Cairo, IL 62914	618-734-4357	Not publicly listed
27	Cairo Women's Shelter, Inc.	Domestic Violence	PO Box 306, Cairo, IL 62914	618-734-4357	Not publicly listed
28	Calhoun County State's Attorney	Prosecution	301 S County Rd, Hardin, IL 62047	618-576-9700	Not publicly listed
29	Carroll County State's Attorney	Prosecution	301 N Main St, Mt Carroll, IL 61053	815-244-0240	Not publicly listed
30	Casa Central Social Services Corporation	Violence Prevention	1343 N California Ave, Chicago, IL 60622	773-645-2300	https://www.casacentral.org
31	CASA DeKalb County, Inc.	Court Appointed Special Advocates	308 W State St, Suite 301, Sycamore, IL 60178	815-895-2052	https://www.casadekalb.org
32	CASA Kane County	Court Appointed Special Advocates	100 S Third St, Suite 460, Geneva, IL 60134	630-232-4484	https://www.casakanecounty.org
33	CASA Lake County	Court Appointed Special Advocates	18 N County St, Waukegan, IL 60085	847-383-6260	https://www.casalakecounty.com
34	CASA of DuPage County	Court Appointed Special Advocates	505 N County Farm Rd, Wheaton, IL 60187	630-407-0548	https://www.dupagecasa.org
35	CASA of East Central Illinois	Court Appointed Special Advocates	422 S Water St, Decatur, IL 62523	217-428-6616	https://www.casaeci.org
36	CASA for Kids (Franklin & Hamilton Counties)	Court Appointed Special Advocates	110 E Main St, Benton, IL 62812	618-435-9800	Not publicly listed
37	CASA for Kids (Franklin & Hamilton Counties)	Court Appointed Special Advocates	110 E Main St, Benton, IL 62812	618-435-9800	Not publicly listed
38	CASA of Jefferson County	Court Appointed Special Advocates	107 E Washington St, Mt Vernon, IL 62864	618-244-1555	Not publicly listed
39	CASA of Jersey & Greene Counties	Court Appointed Special Advocates	201 W Pearl St, Jerseyville, IL 62052	618-639-3044	https://www.casajerseycounty.org
40	CASA of McHenry County	Court Appointed Special Advocates	110 S Johnson St, Woodstock, IL 60098	815-363-5920	https://www.casamchenrycounty.org
41	CASA of McLean and Logan Counties	Court Appointed Special Advocates	502 S Morris Ave, Bloomington, IL 61701	309-828-9222	https://www.casamcleanlogan.org
42	CASA of River Valley	Court Appointed Special Advocates	816 S Chicago St, Joliet, IL 60436	815-730-7072	https://www.casaforchildren.org
43	CASA of Sangamon County	Court Appointed Special Advocates	1100 S Fifth St, Springfield, IL 62703	217-753-2800	https://www.casasangamon.org
44	CASA of Southern Illinois	Court Appointed Special Advocates	604 E Main St, Marion, IL 62959	618-998-3100	https://www.casaofsouthernillinois.org
45	CASA of Southwestern Illinois	Court Appointed Special Advocates	14 S 3rd St, Belleville, IL 62220	618-234-4278	https://www.swicasa.org
46	CASA of Vermilion & Edgar Counties	Court Appointed Special Advocates	201 N Vermilion St, Danville, IL 61832	217-443-1774	Not publicly listed
47	CASA of West Central Illinois	Court Appointed Special Advocates	457 E South St, Galesburg, IL 61401	309-344-4321	https://www.casaofwestcentralillinois.org
48	CASA-15th Judicial Circuit	Court Appointed Special Advocates	101 W 2nd St, Dixon, IL 61021	815-288-1905	Not publicly listed
49	Cass County State's Attorney	Prosecution	100 E Springfield St, Virginia, IL 62691	217-452-7217	Not publicly listed
50	Catholic Bishop of Chicago – St Sabina (Purpose Over Pain)	Homicide Survivor	7800 S Racine Ave, Chicago, IL 60620	773-224-7300	https://www.purposeoverpain.org
51	Center for Prevention of Abuse	Domestic Violence	720 W Joan Ct, Peoria, IL 61614	309-691-0551	https://www.centerforpreventionofabuse.org
52	Center for Prevention of Abuse	Elder Abuse	720 W Joan Ct, Peoria, IL 61614	309-691-0551	https://www.centerforpreventionofabuse.org
53	Center on Halsted	Community Violence	3656 N Halsted St, Chicago, IL 60613	773-472-6469	https://www.centeronhalsted.org
54	Centro Romero	Domestic Violence	6216 N Clark St, Chicago, IL 60660	773-508-5300	https://centroromero.org
55	Champaign County CASA	Court Appointed Special Advocates	201 W Springfield Ave, Suite 503, Champaign, IL 61820	217-384-9065	https://www.champaigncasa.org
56	Champaign County Children's Advocacy Center	Children's Advocacy Center	201 W Kenyon Rd, Champaign, IL 61820	217-384-1266	Not publicly listed
57	Champaign County State's Attorney's Office	Prosecution	101 E Main St, Urbana, IL 61801	217-384-3733	https://www.co.champaign.il.us
58	Chicago Alliance Against Sexual Exploitation	Legal Services	3047 N Lincoln Ave, Suite 400, Chicago, IL 60657	773-244-2230	https://www.caase.org
59	Chicago Children's Advocacy Center	Children's Advocacy Center	1240 S Damen Ave, Chicago, IL 60608	312-492-3700	https://www.chicagocac.org
60	Chicago Cultural Performing Arts and Media Alliance	Violence Prevention	4701 S King Dr, Chicago, IL 60653	Not publicly listed	Not publicly listed
61	Chicago Survivors	Homicide Survivor	836 E 63rd St, Chicago, IL 60637	773-783-4949	https://www.chicagosurvivors.org
62	Child Advocacy Center of McHenry County	Children's Advocacy Center	3519 N Richmond Rd, Johnsburg, IL 60051	815-344-6212	https://www.mchenrycac.org
63	Child Network-CAC	Children's Advocacy Center	657 E Court St, Kankakee, IL 60901	815-932-4482	Not publicly listed
64	Child Network-CASA	Court Appointed Special Advocates	657 E Court St, Kankakee, IL 60901	815-932-4482	Not publicly listed
65	Children's Advocacy Center of East Central Illinois	Children's Advocacy Center	422 S Water St, Decatur, IL 62523	217-428-6616	https://www.casaeci.org
66	Children's Advocacy Center of North and Northwest Cook County	Children's Advocacy Center	6400 N Northwest Hwy, Chicago, IL 60631	773-444-0200	https://www.caccook.org
67	Children's Advocacy Centers of Illinois	Training and Technical Assistance	500 E Adams St, Suite 204, Springfield, IL 62701	217-528-2224	https://www.childrensadvocacycentersofillinois.org
68	Children's Legal Center	Legal Services	135 S LaSalle St, Suite 3200, Chicago, IL 60603	312-332-2626	https://www.clclaw.org
69	Children's Research Triangle	Therapy	180 N Michigan Ave, Chicago, IL 60601	Not publicly listed	Not publicly listed
70	Children's Research Triangle	Therapy	180 N Michigan Ave, Chicago, IL 60601	Not publicly listed	Not publicly listed
71	City of Rockford, Family Peace Center	Domestic Violence	779 N Main St, Rockford, IL 61103	815-967-7842	https://www.familypeacecenter.org
72	Clay County State's Attorney	Prosecution	111 E North St, Louisville, IL 62858	618-665-3051	Not publicly listed
73	Clove Alliance	Sexual Assault	1440 W Court St, Kankakee, IL 60901	815-932-7273	https://www.clovealliance.org
74	Coles County State's Attorney's Office	Prosecution	651 Jackson Ave, Charleston, IL 61920	217-348-0521	Not publicly listed
75	Community Crisis Center	Domestic Violence and Sexual Assault	37 S Geneva Rd, Elgin, IL 60123	847-697-2380	https://www.communitycrisiscenter.org
76	Community Research Resource Information and Services for Seniors Inc.	Elder Abuse	1005 N Walnut St, Danville, IL 61832	217-443-2999	Not publicly listed
77	Connections for Abused Women and Their Children	Domestic Violence	PO Box 191, Chicago, IL 60690	773-278-4566	https://www.cawc.org
78	Cook County Health and Hospitals System (CCH)	Violence Prevention	1950 W Polk St, Chicago, IL 60612	312-864-6000	https://cookcountyhealth.org
79	Cook County State's Attorney's Office	Prosecution	50 W Washington St, Chicago, IL 60602	312-603-1880	https://www.cookcountystatesattorney.org
80	Cook County State's Attorney's Office	Prosecution	50 W Washington St, Chicago, IL 60602	312-603-1880	https://www.cookcountystatesattorney.org
81	Cook County State's Attorney's Office	Homicide Survivor	50 W Washington St, Chicago, IL 60602	312-603-1880	https://www.cookcountystatesattorney.org
82	Court Appointed Special Advocates of Cook County	Court Appointed Special Advocates	2245 W Ogden Ave, Chicago, IL 60612	312-433-4300	https://www.cookcountycasa.org
83	Crawford County State's Attorney	Prosecution	1 Court St, Robinson, IL 62454	618-544-3505	Not publicly listed
84	Crisis Center for South Suburbia	Domestic Violence	1240 23rd Ave, Chicago Heights, IL 60411	708-754-4357	https://www.crisisctr.org
85	Crisis Center Foundation	Domestic Violence	217 E Morgan St, Jacksonville, IL 62650	217-243-4357	Not publicly listed
86	DeKalb County State's Attorney	Prosecution	133 W State St, Sycamore, IL 60178	815-895-7000	https://dekalbcounty.org
87	Douglas County State's Attorney's Office	Prosecution	401 S Center St, Tuscola, IL 61953	217-253-2913	Not publicly listed
88	Dove, Inc.	Domestic Violence	112 E North St, Decatur, IL 62523	217-428-6616	https://www.doveinc.org
89	DuPage County State's Attorney's Office	Prosecution	505 N County Farm Rd, Wheaton, IL 60187	630-407-8000	https://www.dupagecounty.gov
90	Edwards County State's Attorney	Prosecution	50 E Main St, Albion, IL 62806	618-445-2111	Not publicly listed
91	Effingham County State's Attorney's Office	Prosecution	120 W Jefferson Ave, Effingham, IL 62401	217-342-4065	Not publicly listed
92	Empowering Women	Domestic Violence	4600 S King Dr, Chicago, IL 60653	773-373-4400	Not publicly listed
93	Family Rescue	Domestic Violence	200 W Adams St, Suite 1810, Chicago, IL 60606	312-325-7120	https://www.familyrescueinc.org
94	Family Resources	Domestic Violence and Sexual Assault	1411 Brady St, Davenport, IA 52803	563-326-6431	https://www.famres.org
95	Family Resources, Inc.	Community Violence	1411 Brady St, Davenport, IA 52803	563-326-6431	https://www.famres.org
96	Family Service Agency’s Children’s Advocacy Center of DeKalb County	Children's Advocacy Center	1325 Sycamore Rd, DeKalb, IL 60115	815-758-8616	https://www.fsadekalbcounty.org
97	Fayette County State's Attorney's Office	Prosecution	221 S 7th St, Vandalia, IL 62471	618-283-1130	Not publicly listed
98	Ford County State's Attorney Office	Prosecution	200 W State St, Paxton, IL 60957	217-379-9420	Not publicly listed
99	Franklin County State's Attorney's Office	Prosecution	100 Public Sq, Benton, IL 62812	618-435-9800	Not publicly listed
100	Franklin-Williamson Child Advocacy Center	Children's Advocacy Center	10400 Terminal Dr, Marion, IL 62959	618-993-3100	https://www.fwcac.org
101	Freedom House	Domestic Violence and Sexual Assault	440 Elm Pl, Princeton, IL 61356	815-872-0087	https://www.freedomhouseillinois.org
102	Fulton-Mason Crisis Service	Domestic Violence	1321 E Main St, Havana, IL 62644	309-543-5449	Not publicly listed
103	Greater Chicago Legal Clinic	Legal Services	17 N State St, Suite 1710, Chicago, IL 60602	312-726-2938	https://www.gclclaw.org
104	Greene County State's Attorney	Prosecution	519 N Main St, Carrollton, IL 62016	217-942-6996	Not publicly listed
105	Growing Strong Sexual Assault Center	Sexual Assault	302 N Water St, Decatur, IL 62523	217-428-0770	https://www.growingstrongcenter.org
106	Grundy County State's Attorney	Prosecution	111 E Washington St, Morris, IL 60450	815-941-3256	Not publicly listed
107	Guardian Angel Community Services	Sexual Assault	168 N Ottawa St, Joliet, IL 60432	815-729-0930	https://www.gacsprograms.org
108	Guardian Angel Community Services	Domestic Violence	168 N Ottawa St, Joliet, IL 60432	815-729-0930	https://www.gacsprograms.org
109	Hamilton County State's Attorney	Prosecution	100 S Jackson St, McLeansboro, IL 62859	618-643-2737	Not publicly listed
110	HANA Center	Community Violence	4300 N California Ave, Chicago, IL 60618	773-583-5501	https://www.hanacenter.org
111	Hancock County State's Attorney Office	Prosecution	500 Main St, Carthage, IL 62321	217-357-3312	Not publicly listed
112	Hanul Family Alliance	Elder Abuse	5008 N Kedzie Ave, Chicago, IL 60625	773-478-8851	https://www.hanulusa.org
113	Harbor House	Domestic Violence	512 N Schuyler Ave, Kankakee, IL 60901	815-932-5800	https://www.harborhousekankakee.org
114	Henderson County State's Attorney	Prosecution	307 Warren St, Oquawka, IL 61469	309-867-2911	Not publicly listed
115	Henry County State's Attorney's Office	Prosecution	307 W Center St, Cambridge, IL 61238	309-937-3572	Not publicly listed
116	HOPE of East Central Illinois	Domestic Violence	1649 Broadway Ave, Mattoon, IL 61938	217-235-0258	https://www.hope-eci.org
117	HOPE of Ogle County	Domestic Violence	708 S 7th St, Oregon, IL 61061	815-732-7338	https://www.hopeofoglecounty.org
118	Howard Area Community Center	Domestic Violence	7648 N Paulina St, Chicago, IL 60626	773-262-6622	https://www.howardarea.org
119	Illinois Association Court Appointed Special Advocates	Training and Technical Assistance	217 E Monroe St, Suite 210, Springfield, IL 62701	217-522-2666	https://www.illinoiscasa.org
120	Illinois Coalition Against Domestic Violence	Domestic Violence	300 W Edwards St, Suite 201, Springfield, IL 62704	217-789-2830	https://www.ilcadv.org
121	Illinois Coalition Against Sexual Assault	Training and Technical Assistance	100 N 16th St, Springfield, IL 62703	217-753-4117	https://icasa.org
122	Illinois Prison Project	Legal Services	53 W Jackson Blvd, Suite 1542, Chicago, IL 60604	312-324-4463	https://www.illinoisprisonproject.org
123	Jackson County Sheriff's Office	Police Based	1001 Mulberry St, Murphysboro, IL 62966	618-687-3822	https://jacksoncounty-il.gov
124	Jackson County State's Attorney	Prosecution	1001 Walnut St, Murphysboro, IL 62966	618-687-7200	Not publicly listed
125	Jefferson County State's Attorney Office	Prosecution	100 S 10th St, Mt Vernon, IL 62864	618-244-8025	Not publicly listed
126	Jersey County State's Attorney	Prosecution	201 W Pearl St, Jerseyville, IL 62052	618-498-5571	Not publicly listed
127	Jo Daviess County State's Attorney's Office	Prosecution	330 N Bench St, Galena, IL 61036	815-777-2329	Not publicly listed
128	Johnson County State's Attorney's Office	Prosecution	1 Courthouse Sq, Vienna, IL 62995	618-658-9022	Not publicly listed
129	Kane County Child Advocacy Center	Children's Advocacy Center	12 N 1st St, Geneva, IL 60134	630-208-5160	https://www.kanecountycac.org
130	Kane County State's Attorney's Office	Prosecution	37W777 IL Route 38, St Charles, IL 60175	630-232-3500	https://www.kanecountyil.gov
131	KAN-WIN	Domestic Violence and Sexual Assault	4753 N Broadway St, Suite 632, Chicago, IL 60640	773-583-0880	https://www.kanwin.org
132	Kendall County State's Attorney's Office	Prosecution	807 W John St, Yorkville, IL 60560	630-553-4111	https://www.kendallcountyil.gov
133	Kids Above All	Homicide Survivor	8765 W Higgins Rd, Suite 450, Chicago, IL 60631	773-867-5800	https://www.kidsaboveall.org
134	KLEO Community Family Life Center	Violence Prevention	119 E 51st St, Chicago, IL 60615	773-285-4600	Not publicly listed
135	Knox County State's Attorney's Office	Prosecution	200 S Cherry St, Galesburg, IL 61401	309-345-3880	Not publicly listed
136	La Rabida Children's Hospital	Children's Advocacy Center	6501 S Promontory Dr, Chicago, IL 60649	773-363-6700	https://www.larabida.org
137	Lake County Children's Advocacy Center	Children's Advocacy Center	18 N County St, Waukegan, IL 60085	847-377-8370	https://www.lakecountyil.gov
138	Lake County Crisis Center DBA A Safe Place	Domestic Violence and Sexual Assault	2710 17th St, Zion, IL 60099	847-731-7165	https://www.asafeplaceforhelp.org
139	Lake County State's Attorney's Office	Prosecution	18 N County St, Waukegan, IL 60085	847-377-3000	https://www.lakecountyil.gov
140	Land of Lincoln Legal Aid	Legal Services	8787 State St, Suite 201, East St Louis, IL 62203	618-398-0958	https://lincolnlegal.org
141	LaSalle County CASA Organization	Court Appointed Special Advocates	707 Etna Rd, Ottawa, IL 61350	815-434-4200	https://www.casals.org
142	LaSalle County Children's Advocacy Center	Children's Advocacy Center	707 Etna Rd, Ottawa, IL 61350	815-434-4200	Not publicly listed
143	LaSalle County State's Attorney's Office	Prosecution	707 Etna Rd, Ottawa, IL 61350	815-434-8340	Not publicly listed
144	Lawrence County State's Attorney's Office	Prosecution	1100 State St, Lawrenceville, IL 62439	618-943-2346	Not publicly listed
145	Lee County State's Attorney's Office	Prosecution	309 S Galena Ave, Dixon, IL 61021	815-284-5214	Not publicly listed
146	Legal Aid Chicago	Legal Services	120 S LaSalle St, Suite 900, Chicago, IL 60603	312-341-1070	https://www.legalaidchicago.org
147	Legal Aid Society of Metropolitan Family Services	Legal Services	1 N Dearborn St, Suite 1000, Chicago, IL 60602	312-986-4000	https://www.metrofamily.org
148	Lifescape Community Services, Inc.	Elder Abuse	1050 W State St, Rockford, IL 61102	815-963-1609	https://www.lifescapeservices.org
149	Life-Span	Domestic Violence	70 E Lake St, Suite 720, Chicago, IL 60601	312-408-1210	https://www.life-span.org
150	Life-Span	Domestic Violence	70 E Lake St, Suite 720, Chicago, IL 60601	312-408-1210	https://www.life-span.org
151	Livingston County State's Attorney	Prosecution	112 W Madison St, Pontiac, IL 61764	815-844-5164	Not publicly listed
152	Logan County State's Attorney	Prosecution	601 Broadway St, Lincoln, IL 62656	217-732-4148	Not publicly listed
153	Macon County State's Attorney's Office	Prosecution	253 E Wood St, Decatur, IL 62523	217-424-1400	Not publicly listed
154	Madison County Child Advocacy Center	Children's Advocacy Center	300 W Main St, Suite 200, Belleville, IL 62220	618-296-5388	https://www.madisoncountycac.org
155	Madison County State's Attorney's Office	Prosecution	157 N Main St, Edwardsville, IL 62025	618-692-6280	https://www.madisoncountyil.gov
156	Marion County State's Attorney's Office	Prosecution	100 E Main St, Salem, IL 62881	618-548-3860	Not publicly listed
157	Marshall County State's Attorney's Office	Prosecution	122 N Prairie St, Lacon, IL 61540	309-246-6401	Not publicly listed
158	Mason County State's Attorney	Prosecution	125 N Plum St, Havana, IL 62644	309-543-6610	Not publicly listed
159	Massac County State's Attorney's Office	Prosecution	1 Superman Sq, Metropolis, IL 62960	618-524-5213	Not publicly listed
160	McDonough County State's Attorney's Office	Prosecution	1 Courthouse Sq, Macomb, IL 61455	309-833-2474	Not publicly listed
161	McHenry County State's Attorney's Office	Prosecution	2200 N Seminary Ave, Woodstock, IL 60098	815-334-4547	https://www.mchenrycountyil.gov
162	McLean CAC	Children's Advocacy Center	1410 Leslie Dr, Bloomington, IL 61704	309-828-9222	https://www.mcleancac.org
163	McLean County State's Attorney's Office	Prosecution	104 W Front St, Bloomington, IL 61701	309-888-5400	https://www.mcleancountyil.gov
164	Menard County State's Attorney	Prosecution	102 S 7th St, Petersburg, IL 62675	217-632-4030	Not publicly listed
165	Mercer County Family Crisis Center	Domestic Violence	110 SE 3rd St, Aledo, IL 61231	309-582-7233	Not publicly listed
166	Mercer County Family Crisis Center – Children's Advocacy Center	Children's Advocacy Center	110 SE 3rd St, Aledo, IL 61231	309-582-7233	Not publicly listed
167	Mercer County State's Attorney	Prosecution	100 SE 3rd St, Aledo, IL 61231	309-582-5321	Not publicly listed
168	Metropolitan Family Services	Domestic Violence	1 N Dearborn St, Suite 1000, Chicago, IL 60602	312-986-4000	https://www.metrofamily.org
169	Metropolitan Family Services	Domestic Violence	1 N Dearborn St, Suite 1000, Chicago, IL 60602	312-986-4000	https://www.metrofamily.org
170	Metropolitan Family Services	Domestic Violence	1 N Dearborn St, Suite 1000, Chicago, IL 60602	312-986-4000	https://www.metrofamily.org
171	Metropolitan Family Services DuPage	Domestic Violence	222 E Willow Ave, Wheaton, IL 60187	630-784-4800	https://www.metrofamily.org
172	Mid Central Community Action	Domestic Violence	1301 W Washington St, Bloomington, IL 61701	309-829-0691	Not publicly listed
173	Morgan County State's Attorney	Prosecution	300 W State St, Jacksonville, IL 62650	217-243-0927	Not publicly listed
174	Mothers Against Drunk Driving	DUI	111 E Wacker Dr, Suite 200, Chicago, IL 60601	312-368-8610	https://www.madd.org
175	Moultrie County State's Attorney's Office	Prosecution	10 S Main St, Sullivan, IL 61951	217-728-4386	Not publicly listed
176	Mujeres Latinas en Accion	Domestic Violence	2124 W 21st Pl, Chicago, IL 60608	773-890-7676	https://mujereslatinasenaccion.org
177	Mujeres Latinas en Accion	Sexual Assault	2124 W 21st Pl, Chicago, IL 60608	773-890-7676	https://mujereslatinasenaccion.org
178	Mutual Ground, Inc.	Sexual Assault	418 Oak Ave, Aurora, IL 60506	630-897-0084	https://www.mutualground.org
179	Mutual Ground, Inc.	Domestic Violence	418 Oak Ave, Aurora, IL 60506	630-897-0084	https://www.mutualground.org
180	Illinois Youth and Family Services (dba National Center for Economics)	Violence Prevention	1915 W Cermak Rd, Chicago, IL 60608	773-523-7600	Not publicly listed
181	Neopolitan Lighthouse	Domestic Violence	1665 N Leclaire Ave, Chicago, IL 60639	773-261-4600	Not publicly listed
182	North Suburban Legal Aid Clinic	Legal Services	350 Pfingsten Rd, Suite 112, Northbrook, IL 60062	847-737-4042	https://www.nslegalaid.org
183	Northwest Center Against Sexual Assault	Sexual Assault	1700 E Golf Rd, Suite 1010, Schaumburg, IL 60173	847-806-6526	https://www.nwcasa.org
184	Oasis Women's Center	Domestic Violence	301 N 36th St, East St Louis, IL 62205	618-397-0975	Not publicly listed
185	Ogle County State's Attorney's Office	Prosecution	106 S 5th St, Oregon, IL 61061	815-732-1130	Not publicly listed
186	Parents Against Gangs	Homicide Survivor	830 N Larkin Ave, Joliet, IL 60435	815-730-4400	Not publicly listed
187	Pathlights Human Services	Elder Abuse	4500 W Touhy Ave, Skokie, IL 60076	847-679-8191	https://www.pathlights.org
188	Peoria County Children's Advocacy Center	Children's Advocacy Center	2710 W Richwoods Blvd, Peoria, IL 61604	309-671-3215	Not publicly listed
189	Peoria County Sheriff's Office	Police Based	301 N Maxwell Rd, Peoria, IL 61604	309-697-8515	https://www.peoriacounty.gov
190	Peoria County State's Attorney's Office	Prosecution	324 Main St, Peoria, IL 61602	309-672-6900	https://www.peoriacounty.gov
191	Perry County Sheriff's Office	Police Based	104 S Walnut St, Pinckneyville, IL 62274	618-357-5212	https://perrycountyil.gov
192	Perry-Jackson Child Advocacy Center	Children's Advocacy Center	1400 S Washington St, Du Quoin, IL 62832	618-542-2800	Not publicly listed
193	Piatt County State's Attorney	Prosecution	101 W Washington St, Monticello, IL 61856	217-762-9487	Not publicly listed
194	Pike County State's Attorney	Prosecution	100 E Washington St, Pittsfield, IL 62363	217-285-2971	Not publicly listed
195	Pillars Community Health	Domestic Violence and Sexual Assault	6918 Windsor Ave, Berwyn, IL 60402	708-745-5277	https://www.pillarscommunityhealth.org
196	Polish American Association	Domestic Violence	3834 N Cicero Ave, Chicago, IL 60641	773-282-8206	https://www.polish.org
197	Pope County State's Attorney Office	Prosecution	310 E Main St, Golconda, IL 62938	618-683-6231	Not publicly listed
198	Potter's House of Peoria	Violence Prevention	2919 W Malone St, Peoria, IL 61605	309-966-0086	Not publicly listed
199	Prairie Center Against Sexual Assault	Sexual Assault	3 W Old State Capitol Plaza, Springfield, IL 62701	217-744-2560	https://www.pcasa.org
200	Prairie State Legal Services	Legal Services	303 N Main St, Suite 600, Rockford, IL 61101	815-965-2134	https://www.pslegal.org
201	Pulaski County State's Attorney's Office	Prosecution	500 Illinois Ave, Mound City, IL 62963	618-748-9300	Not publicly listed
202	Quincy Area Network Against Domestic Abuse, Inc.	Domestic Violence and Sexual Assault	1528 Broadway St, Quincy, IL 62301	217-222-0069	https://www.quanada.org
203	Randolph County State's Attorney	Prosecution	1 Taylor St, Chester, IL 62233	618-826-5071	Not publicly listed
204	Rape Advocacy, Counseling & Education Services	Sexual Assault	145A Lincoln Square, Urbana, IL 61801	217-344-6298	https://www.rapecrisisservices.org
205	Remedies Renewing Lives	Domestic Violence	625 N Court St, Rockford, IL 61103	815-962-0871	https://www.remediesrenewinglives.org
206	Resilience	Sexual Assault	180 N Michigan Ave, Suite 600, Chicago, IL 60601	312-443-9603	https://www.ourresilience.org
207	Riverview Center	Domestic Violence	4626 Progress Dr, Davenport, IA 52807	563-326-9191	https://www.riverviewcenter.org
208	Riverview Center	Sexual Assault	4626 Progress Dr, Davenport, IA 52807	563-326-9191	https://www.riverviewcenter.org
209	Rock Island County State's Attorney's Office	Prosecution	210 15th St, Rock Island, IL 61201	309-558-3505	Not publicly listed
210	Rockford Sexual Assault Counseling	Sexual Assault	4990 E State St, Rockford, IL 61108	815-636-9811	Not publicly listed
211	Rockford Sexual Assault Counseling	Sexual Assault	4990 E State St, Rockford, IL 61108	815-636-9811	Not publicly listed
212	Safe Harbor Family Crisis Center	Domestic Violence	1515 N Seminary St, Galesburg, IL 61401	309-343-7233	Not publicly listed
213	Safe Journeys	Domestic Violence	1015 W Main St, Ottawa, IL 61350	815-434-3011	https://www.safejourneysillinois.org
214	Safe Passage	Sexual Assault	217 Franklin St, DeKalb, IL 60115	815-756-5228	https://www.safepassagedv.org
215	Safe Passage	Domestic Violence	217 Franklin St, DeKalb, IL 60115	815-756-5228	https://www.safepassagedv.org
216	Saline County State's Attorney Office	Prosecution	10 E Poplar St, Harrisburg, IL 62946	618-253-8631	Not publicly listed
217	Sangamon County Child Advocacy Center	Children's Advocacy Center	400 W Monroe St, Springfield, IL 62704	217-753-2800	Not publicly listed
218	Sangamon County Child Advocacy Center	Children's Advocacy Center	400 W Monroe St, Springfield, IL 62704	217-753-2800	Not publicly listed
219	Sangamon County State's Attorney's Office	Prosecution	200 S 9th St, Springfield, IL 62701	217-753-6699	https://www.sangamonil.gov
